logical: 52521, physical: 29993, byte value: 0
logical: 34646, physical: 18006, byte value: 33
logical: 32889, physical: 4217, byte value: 0
logical: 13055, physical: 30463, byte value: -65
logical: 65416, physical: 30600, byte value: 0
logical: 62869, physical: 28565, byte value: 0
logical: 57314, physical: 30946, byte value: 55
logical: 12659, physical: 31091, byte value: 92
logical: 14052, physical: 31460, byte value: 0
logical: 32956, physical: 4284, byte value: 0
logical: 49273, physical: 8569, byte value: 0
logical: 50352, physical: 14000, byte value: 0
logical: 49737, physical: 31561, byte value: 0
logical: 15555, physical: 31939, byte value: 48
logical: 47475, physical: 32115, byte value: 92
logical: 15328, physical: 32480, byte value: 0
logical: 34621, physical: 17981, byte value: 0
logical: 51365, physical: 32677, byte value: 0
logical: 32820, physical: 4148, byte value: 0
logical: 48855, physical: 215, byte value: -75
logical: 12224, physical: 2752, byte value: 0
logical: 2035, physical: 755, byte value: -4
logical: 60539, physical: 7291, byte value: 30
logical: 14595, physical: 771, byte value: 64
logical: 13853, physical: 31261, byte value: 0
logical: 24143, physical: 1615, byte value: -109
logical: 15216, physical: 32368, byte value: 0
logical: 8113, physical: 1969, byte value: 0
logical: 22640, physical: 2928, byte value: 0
logical: 32978, physical: 4306, byte value: 32
logical: 39151, physical: 4079, byte value: 59
logical: 19520, physical: 22592, byte value: 0
logical: 58141, physical: 2333, byte value: 0
logical: 63959, physical: 21975, byte value: 117
logical: 53040, physical: 3632, byte value: 0
logical: 55842, physical: 4386, byte value: 54
logical: 585, physical: 17225, byte value: 0
logical: 51229, physical: 32541, byte value: 0
logical: 64181, physical: 4789, byte value: 0
logical: 54879, physical: 5215, byte value: -105
logical: 28210, physical: 5426, byte value: 27
logical: 10268, physical: 14620, byte value: 0
logical: 15395, physical: 31779, byte value: 8
logical: 12884, physical: 30292, byte value: 0
logical: 2149, physical: 5733, byte value: 0
logical: 53483, physical: 6123, byte value: 58
logical: 59606, physical: 26070, byte value: 58
logical: 14981, physical: 24709, byte value: 0
logical: 36672, physical: 6208, byte value: 0
logical: 23197, physical: 6557, byte value: 0
logical: 36518, physical: 14502, byte value: 35
logical: 13361, physical: 6961, byte value: 0
logical: 19810, physical: 7522, byte value: 19
